iter	RMSE
184	0.3637337146
185	0.3628013585
186	0.3618352997
187	0.3614847731
188	0.360182345
189	0.3595604025
190	0.3583315267
191	0.3574347469
192	0.3558219263
193	0.3548164778
194	0.3538726896
195	0.3526064321
196	0.3517041958
197	0.3503827742
198	0.3500121074
199	0.3490445141
200	0.3487334785
201	0.3477758936
202	0.3469870631
203	0.3467371853
204	0.3453922119
205	0.3444346383
206	0.344053739
207	0.3435714886
208	0.3422512786
209	0.3420715205
210	0.341428684
211	0.3409014116
212	0.3397869784
213	0.3388449108
214	0.3377276045
215	0.3369368225
216	0.3363661079
217	0.3359398359
218	0.335730418
219	0.3349228587
220	0.3337082759
221	0.3334892807
222	0.3332690385
223	0.3325493187
224	0.3320611358
225	0.3313848489
226	0.3308769761
227	0.3300914177
228	0.3289769792
229	0.3281951122
230	0.3268623806
231	0.3267485028
232	0.3261058495
233	0.3250243577
234	0.3240931943
235	0.3233852071
236	0.3217893202
237	0.3203607777
238	0.3195302042
239	0.3193999963
240	0.3183854998
241	0.3172580019
242	0.3163049974
243	0.3155283151
244	0.3154048265
245	0.3152675057
246	0.3140939637
247	0.3133872772
248	0.3131755281
249	0.312184213
250	0.3115455876
251	0.3106068286
252	0.3090502257
253	0.3082591231
254	0.3073239398
255	0.306647647
256	0.3057493465
257	0.3053452896
258	0.3051900155
259	0.3046817762
260	0.303537489
261	0.3028184163
262	0.3020416812
263	0.3007328919
264	0.2995507052
265	0.2988768666
266	0.2976200721
267	0.2967733744
268	0.296664808
269	0.2963018046
270	0.2957774559
271	0.2951985621
272	0.2945425317
273	0.2937753584
274	0.2931211433
275	0.2923529676
276	0.2918588134
277	0.2908663778
278	0.2901302003
279	0.2890278121
280	0.2883540211
281	0.2875519039
282	0.2864492192
283	0.2863275342
284	0.2861844856
285	0.2853402703
286	0.2844959274
287	0.2836845609
288	0.2835935446
289	0.2827145297
290	0.2816044163
291	0.2810828214
292	0.2809541943
293	0.2801447966
294	0.2799870032
295	0.2790645486
296	0.2783722335
297	0.2776523536
298	0.2772651578
299	0.2762443941
300	0.2755739965
301	0.274970752
302	0.2748566561
303	0.2745199914
304	0.2736861842
305	0.2734933308
306	0.2729120001
307	0.2724014066
308	0.2710529173
309	0.2703128757
310	0.2695341225
311	0.2693845509
312	0.2684125876
313	0.2678895773
314	0.2673919051
315	0.2668838243
316	0.2665151787
317	0.2661787312
318	0.2658550456
319	0.2649547183
320	0.2642106954
321	0.2639538016
322	0.2632489213
323	0.2619666308
324	0.2609499366
325	0.260428493
326	0.259738563
327	0.2590649104
328	0.2579122357
329	0.257221685
330	0.2570478269
331	0.2559807528
332	0.255859438
333	0.2548829385
334	0.2540078111
335	0.2535689493
336	0.2532170708
337	0.2526371474
338	0.2518986656
339	0.2512740636
340	0.250872594
341	0.250425488
342	0.2503461678
343	0.2498568389
344	0.2488312828
345	0.2482755025
346	0.2474959512
347	0.2463756858
348	0.2452363534
349	0.2451333939
350	0.2450920927
351	0.2445782231
352	0.2437568116
353	0.2430529936
354	0.2424632346
355	0.2416431173
356	0.2407753116
357	0.2400147005
358	0.2393852107
359	0.2388804548
360	0.2385405688
361	0.2374755271
362	0.2372743761
363	0.2365272683
364	0.2363531158
365	0.2359564673
366	0.2351335497
367	0.2346378173
368	0.2340069883
369	0.233814899
370	0.2334353475
371	0.2330547764
372	0.2322611511
373	0.2319686227
374	0.2309448905
375	0.2305982813
376	0.2305193456
377	0.2301248118
378	0.2293872182
379	0.2287842234
380	0.2284092752
381	0.2274865205
382	0.22665529
383	0.2257507495
384	0.2255188136
385	0.2244878256
386	0.2240770437
387	0.22397538
388	0.2238455642
389	0.223441183
390	0.2232778729
391	0.2223514937
392	0.2218008411
393	0.2213801719
394	0.2206595984
395	0.2200664371
396	0.2194290315
397	0.2183746266
398	0.2175730662
399	0.2172877881
400	0.2167238934
401	0.2157381988
402	0.2148637448
403	0.2143800609
404	0.2137875381
405	0.212891791
406	0.2122233508
407	0.2118121381
408	0.2110889825
409	0.2103352557
410	0.2101017174
411	0.2098556313
412	0.2094018732
413	0.2087425035
414	0.2081529523
415	0.2077087046
416	0.207160516
417	0.2063176918
418	0.2058776485
419	0.2053994845
420	0.2049575169
421	0.2048884457
422	0.2044740956
423	0.203877521
424	0.2032364714
425	0.2026914533
426	0.2025905439
427	0.2023802691
428	0.2023324897
429	0.2018660429
430	0.2018270245
431	0.2013387899
432	0.2012954431
433	0.2009584526
434	0.200343803
435	0.2001447077
436	0.2000634216
437	0.1995899582
438	0.1986445086
439	0.1986118071
440	0.1981644743
441	0.1977311074
442	0.1974152851
443	0.1969274767
444	0.195958605
445	0.195256652
446	0.1947641216
447	0.1940720141
448	0.1938717873
449	0.1935375273
450	0.193276196
451	0.1930741631
452	0.1930110884
453	0.1923999402
454	0.1919927061
455	0.1918573377
456	0.1913837568
457	0.190864944
458	0.1904984545
459	0.1900218873
460	0.1892578151
461	0.1890166867
462	0.1886531263
463	0.1886009569
464	0.1882831906
465	0.1881420769
466	0.1877776229
467	0.1873405069
468	0.1864693571
469	0.1862368694
470	0.1858414808
471	0.1856150281
472	0.185036224
473	0.1847117578
474	0.1842651157
475	0.1842276976
476	0.1841983512
477	0.1837684524
478	0.1833665888
479	0.1830194407
480	0.1828812934
481	0.1826008537
482	0.1821609032
483	0.1814260355
484	0.1813898174
485	0.1809894051
486	0.180860633
487	0.1802437233
488	0.1796438959
489	0.1796283204
490	0.1791383445
491	0.1789450933
492	0.178933012
493	0.178635236
494	0.177628491
495	0.1772364479
496	0.1769890378
497	0.1764793936
498	0.1763196138
499	0.1761528994
